listing_id,price,referans_fiyat,xgb_predicted,predicted_price,price_gap,etiket,guven,knn_mod,district,neighborhood,gross_sqm,total_rooms,building_age,floor,total_floors,floor_ratio,is_in_complex,knn_mesafe
54895-1121,15900000,14375000.0,15919350.0,15147175.0,0.049700686761722894,Adil fiyat,0.24,ilce_ici,Adalar,Maden,138.0,4,55,3.0,3.0,1.0,0,1.8088029501836722
54895-1103,40000000,17700000.0,39730024.0,28715012.0,0.3929995919904195,Pahalı,0.0,ilce_ici,Adalar,Nizam,199.0,5,0,-1.0,3.0,-0.3333333333333333,1,4.2820135375895045
54895-1148,17850000,12875000.0,17945200.0,15410100.0,0.1583312243269025,Adil fiyat,0.0,ilce_ici,Adalar,Nizam,107.0,3,54,1.0,5.0,0.2,0,2.523742095123037
12854-258,16000000,14125000.0,16234074.0,15179537.0,0.05405059456029522,Adil fiyat,0.36,ilce_ici,Adalar,Heybeliada,200.0,4,35,2.0,3.0,0.6666666666666666,0,1.514166781199167
121334-99,14000000,12575000.0,14490808.0,13532904.0,0.03451557773556954,Adil fiyat,0.46,ilce_ici,Adalar,Nizam,160.0,5,40,-1.0,3.0,-0.3333333333333333,0,1.2762585613792419
12854-251,12000000,10625000.0,11994390.0,11309695.0,0.06103657083590672,Adil fiyat,0.48,ilce_ici,Adalar,Heybeliada,120.0,4,35,-1.0,3.0,-0.3333333333333333,0,1.229844359067632
4387-1728,21900000,13425000.0,21288836.0,17356918.0,0.2617447406273395,Pahalı,0.63,ilce_ici,Adalar,Maden,160.0,5,30,2.0,3.0,0.6666666666666666,0,0.8801580719904514
54895-1156,6500000,9500000.0,6584541.0,8042270.5,-0.19177053296081,Adil fiyat,0.14,ilce_ici,Adalar,Maden,59.0,2,50,-1.0,4.0,-0.25,0,2.0363890074416435
139746-600,18500000,16350000.0,18488160.0,17419080.0,0.06205379388578501,Adil fiyat,0.51,ilce_ici,Adalar,Kınalıada,190.0,5,25,3.0,3.0,1.0,0,1.1634639496598616
25051-1008,12100000,14250000.0,12199877.0,13224938.5,-0.08506190784932573,Adil fiyat,0.19,ilce_ici,Adalar,Maden,160.0,5,35,-1.0,2.0,-0.5,0,1.9179475912546522
54895-1134,22500000,14050000.0,22444700.0,18247350.0,0.2330557587814121,Pahalı,0.01,ilce_ici,Adalar,Nizam,226.0,3,45,2.0,4.0,0.5,0,2.337661929983416
54895-1107,24000000,16600000.0,23910404.0,20255202.0,0.1848808024723723,Adil fiyat,0.0,ilce_ici,Adalar,Nizam,99.0,4,0,3.0,3.0,1.0,1,4.5085753033271985
